date,Q_i,Q_C,Q_L,T_i,T_C,T_L
1978-01-01,800.7073500000001,249.8903420988,1050.5976920988,,,
1978-01-02,715.7139604953582,256.77955209879997,972.4935125941581,,,
1978-01-03,656.5388404953578,255.68919209880005,912.2280325941579,,,
1978-01-04,658.6890904953582,234.9360120988001,893.6251025941583,,,
1978-01-05,625.341530495358,212.2384820988,837.580012594158,,,
1978-01-06,596.461330495358,176.3051620988,772.766492594158,,,
1978-01-07,558.8884704953579,169.44313209880005,728.3316025941579,,,
1978-01-08,636.3440104953581,371.6824520988,1008.0264625941581,,,
1978-01-09,14285.428230495358,54.9368420988,14340.365072594157,,,
1978-01-10,9643.770215029755,2536.324335719079,12180.094550748834,,,
1978-01-11,7440.708815029759,3345.162591719839,10785.871406749597,,,
1978-01-12,6072.324015029757,2916.2141925861506,8988.538207615908,,,
1978-01-13,4760.617815029757,2376.5588829980466,7137.176698027804,,,
1978-01-14,3804.9329150297576,2043.6934732689476,5848.626388298705,,,
1978-01-15,3160.5337650297574,1740.7139750067854,4901.247740036542,,,
1978-01-16,2851.7051150297575,1484.544111382796,4336.249226412554,,,
1978-01-17,1419.2100408134727,573.6741337036,1992.8841745170726,,,
1978-01-18,1111.0803804953575,589.7152737036,1700.7956541989574,,,
1978-01-19,1060.833730495358,563.0087437036,1623.842474198958,,,
1978-01-20,1001.7904804953578,563.4635237036,1565.2540041989578,,,
1978-01-21,1078.848308665163,546.3377137036,1625.186022368763,,,
1978-01-22,1261.933991119874,511.2093037036,1773.143294823474,,,
1978-01-23,1383.19298560626,493.0617937036,1876.25477930986,,,
1978-01-24,1377.573172011575,525.050758840686,1902.6239308522609,,,
1978-01-25,1472.948622938045,415.8284046644877,1888.7770276025326,,,
1978-01-26,5146.293180246363,675.0855339060321,5821.378714152394,,,
1978-01-27,9348.675815029757,2707.379012228487,12056.054827258245,,,
1978-01-28,6922.533115029757,3487.3034479352004,10409.836562964958,,,
1978-01-29,5077.539015029759,3269.0138479352,8346.55286296496,,,
1978-01-30,3933.730915029758,2841.71256236156,6775.443477391318,,,
1978-01-31,3265.0684150297575,2320.9604967882237,5586.028911817981,,,
1978-02-01,2852.1283850297573,1990.0723363982795,4842.200721428037,,,
1978-02-02,2546.2232050297575,1474.8701359929237,4021.093341022681,,,
1978-02-03,1769.701193072234,590.7030437036001,2360.404236775834,,,
1978-02-04,1256.954392217436,581.3713037036,1838.325695921036,,,
1978-02-05,1049.2010330454827,553.7585737036,1602.9596067490827,,,
1978-02-06,958.8236843604222,539.3339137035999,1498.1575980640223,,,
1978-02-07,889.1161362209875,547.0326737035999,1436.1488099245876,,,
1978-02-08,868.2305863087936,512.8647037036,1381.0952900123934,,,
1978-02-09,916.5517269522109,501.1070137036,1417.6587406558108,,,
1978-02-10,952.2022929838776,487.2837337036,1439.4860266874775,,,
1978-02-11,853.0864343584582,473.6853937036,1326.7718280620581,,,
1978-02-12,809.6610204953579,459.5025437036,1269.1635641989578,,,
1978-02-13,800.392090495358,447.99556370359994,1248.387654198958,,,
1978-02-14,783.183770495358,444.9111937036,1228.094964198958,,,
1978-02-15,784.235230495358,445.0502137036,1229.285444198958,,,
1978-02-16,797.449380495358,440.2305537036,1237.679934198958,,,
1978-02-17,597.918120495358,102.45475209880004,700.372872594158,,,
1978-02-18,585.990060495358,100.76164209880004,686.751702594158,,,
1978-02-19,594.768850495358,100.97240209879998,695.741252594158,,,
1978-02-20,580.776160495358,100.20967209880004,680.9858325941581,,,
1978-02-21,569.133850495358,111.6245420988,680.7583925941581,,,
1978-02-22,592.7981104953581,110.8324220988,703.630532594158,,,
1978-02-23,573.4295104953582,111.8115420988,685.2410525941582,,,
1978-02-24,540.199000495358,106.2537620988,646.452762594158,,,
1978-02-25,521.2845604953579,101.5500220988,622.834582594158,,,
1978-02-26,506.00983049535796,101.5799820988,607.5898125941579,,,
1978-02-27,509.60123049535804,102.9940020988,612.595232594158,,,
1978-02-28,496.3473304953579,103.3196720988,599.6670025941579,,,
1978-03-01,510.228940495358,104.34901209879996,614.577952594158,,,
1978-03-02,499.91667049535795,104.0932020988,604.009872594158,,,
1978-03-03,475.8913752370005,115.85043507026454,591.741810307265,,,
1978-03-04,457.982119786196,112.95866628360986,570.9407860698059,,,
1978-03-05,441.0099584700005,117.5997992480477,558.6097577180483,,,
1978-03-06,415.0133555432107,134.46656730495522,549.4799228481659,,,
1978-03-07,424.83045987378097,126.63590031093383,551.4663601847149,,,
1978-03-08,422.31265902715353,136.7376707244519,559.0503297516054,,,
1978-03-09,436.7692232077738,147.42944292193937,584.1986661297132,,,
1978-03-10,430.60325961999246,138.14506714196074,568.7483267619532,,,
1978-03-11,425.8774205000424,138.7319650251154,564.6093855251578,,,
1978-03-12,415.1961265339624,141.14891042775332,556.3450369617158,,,
1978-03-13,404.67228049535794,127.3616120988,532.0338925941579,,,
1978-03-14,718.1583504953579,352.82446209880004,1070.982812594158,,,
1978-03-15,2799.747230495358,441.4576420988,3241.204872594158,,,
1978-03-16,2050.3139304953584,370.8052420988,2421.1191725941585,,,
1978-03-17,1691.698700495358,301.83739209879997,1993.536092594158,,,
1978-03-18,1385.3197204953578,286.9626620988,1672.2823825941578,,,
1978-03-19,1420.594230495358,190.23578209879997,1610.830012594158,,,
1978-03-20,1563.2184004953576,247.3174220988,1810.5358225941577,,,
1978-03-21,2539.5590304953575,54.9368420988,2594.4958725941574,,,
1978-03-22,5464.6292304953595,54.9368420988,5519.56607259416,,,
1978-03-23,6555.642330495359,438.4039420987999,6994.046272594159,,,
1978-03-24,6894.541130495357,562.0153420988,7456.556472594157,,,
1978-03-25,5318.686830495358,572.8456420987999,5891.532472594157,,,
1978-03-26,5051.603430495358,573.1868420988,5624.7902725941585,,,
1978-03-27,10046.065130495357,2762.793922932318,12808.859053427675,,,
1978-03-28,9240.783571019912,4298.202808927761,13538.986379947673,,,
1978-03-29,8978.611534087882,3448.2167285183305,12426.828262606214,,,
1978-03-30,8042.3784381879,2708.8628223985315,10751.241260586432,,,
1978-03-31,6954.334707582911,2590.0636802447343,9544.398387827645,,,
1978-04-01,7672.789193755908,2599.22931557774,10272.018509333648,,,
1978-04-02,8781.259273441374,2822.0235507283123,11603.282824169686,,,
1978-04-03,6756.556615343812,2101.4892663405058,8858.045881684318,,,
1978-04-04,4889.482728968954,1767.6039954008309,6657.086724369785,,,
1978-04-05,5729.959996778854,1985.2079647429107,7715.1679615217645,,,
1978-04-06,4707.987929954504,1515.6437294295404,6223.631659384044,,,
1978-04-07,5412.647917227054,1682.8524719758798,7095.500389202934,,,
1978-04-08,4914.769564936257,1581.7422284841778,6496.5117934204345,,,
1978-04-09,3473.4005746864364,1294.9219219910085,4768.322496677445,,,
1978-04-10,2718.0411020402607,1102.218879802498,3820.259981842759,,,
1978-04-11,2693.610605108523,1048.5286489983555,3742.1392541068785,,,
1978-04-12,2598.016824143391,1304.9219645769772,3902.9387887203684,,,
1978-04-13,2288.4168279264527,1191.743869176913,3480.1606971033657,,,
1978-04-14,1988.041509616077,1106.5143502592873,3094.555859875364,,,
1978-04-15,1829.0761688172415,904.5561925763338,2733.6323613935756,,,
1978-04-16,1461.8502422060924,654.3593435629309,2116.2095857690233,,,
1978-04-17,1163.616303965829,462.652661076449,1626.268965042278,,,
1978-04-18,1074.8623168169715,406.34710385721223,1481.2094206741838,,,
1978-04-19,1107.3879807156939,385.63870105482795,1493.026681770522,,,
1978-04-20,2187.7351657304625,794.721836974333,2982.4570027047957,,,
1978-04-21,2127.186688964817,621.8099734474258,2748.996662412243,,,
1978-04-22,1530.0363680823962,404.6899588792876,1934.7263269616838,,,
1978-04-23,1017.8454302877084,184.92340188261096,1202.7688321703195,,,
1978-04-24,879.4518393852512,152.66478110238893,1032.1166204876401,,,
1978-04-25,791.4400245987795,151.2667312089295,942.706755807709,,,
1978-04-26,938.8952530674591,290.10448304535186,1228.999736112811,,,
1978-04-27,812.7649944206784,234.47811803459297,1047.2431124552713,,,
1978-04-28,824.1191817589239,269.7718371378435,1093.8910188967675,,,
1978-04-29,683.9221825506165,218.0570129421929,901.9791954928094,,,
1978-04-30,459.937060495358,60.50691740719998,520.443977902558,,,
1978-05-01,503.4082829574709,220.7130515974891,724.12133455496,,,
1978-05-02,509.73510223034816,237.60147466751368,747.3365768978618,,,
1978-05-03,527.4940691975573,250.03276020076,777.5268293983173,,,
1978-05-04,491.2451224693443,241.27291261952143,732.5180350888658,,,
1978-05-05,728.7746629517643,329.5866481129311,1058.3613110646954,,,
1978-05-06,1000.2821264830859,334.353586671762,1334.635713154848,,,
1978-05-07,865.7058678742484,254.73841397648505,1120.4442818507334,,,
1978-05-08,843.9670269857213,317.1986401960197,1161.165667181741,,,
1978-05-09,1603.3952190937755,595.1559628109204,2198.551181904696,,,
1978-05-10,1422.2420000024101,461.62775437264185,1883.869754375052,,,
1978-05-11,1043.7362455498724,355.9693730033283,1399.7056185532006,,,
1978-05-12,912.3684739897597,311.9824242922242,1224.350898281984,,,
1978-05-13,836.011320495358,242.4327516862201,1078.4440721815781,,,
1978-05-14,1397.662991704405,929.3745532814954,2327.0375449859002,,,
1978-05-15,2543.3276998728575,1226.157757543854,3769.485457416711,,,
1978-05-16,2496.5000037383156,1223.6657883979829,3720.1657921362985,,,
1978-05-17,3406.533467121559,1544.3724223939787,4950.905889515538,,,
1978-05-18,4226.031363556069,1598.6215066911734,5824.652870247242,,,
1978-05-19,4279.590287835275,1684.7976493100884,5964.387937145364,,,
1978-05-20,2775.5187126809874,1320.6326715490054,4096.151384229993,,,
1978-05-21,2525.4116462572415,1179.0086002727462,3704.4202465299877,,,
1978-05-22,2019.1269095500425,1014.4096683159216,3033.5365778659643,,,
1978-05-23,1698.1487235399418,882.2332066528,2580.381930192742,,,
1978-05-24,1850.1689927236953,917.3401635421895,2767.509156265885,,,
